latitude;longitude
0.561293454712047;-77.6949134023219
0.565538114809665;-77.6895580067004
0.563659394016099;-77.6897816420855
0.561826439427989;-77.690933650859
0.560924546645481;-77.6926576407058
0.561169465856494;-77.6944805370101
0.561293454712047;-77.6949134023219
0.208998248854796;-77.8869312616042
0.208884880241834;-77.8864986032062
0.20883800956733;-77.8866344940196
0.208998248854796;-77.8869312616042
-8.00710737091884;-49.079667391843
-7.99655956633836;-49.0856668043737
-7.97550807424182;-49.0976405363962
-7.94340639087841;-49.1057964634697
-7.8894423570801;-49.090888578106
-7.82860164227225;-49.0713724900102
-7.76430423059162;-49.0437695417233
-7.7390530766998;-49.0403445284445
-7.71841448412977;-49.042686599832
-7.69894097610222;-49.0577394921207
-7.68405723061971;-49.078536502661
-7.68867163596013;-49.0958484854957
-7.70247478648423;-49.1108324785402
-7.71051822841696;-49.1200565953553
-7.70938113943112;-49.124679550237
-7.68993763861693;-49.1639485990125
-7.66472034761404;-49.1882324812769
-7.62575941759957;-49.22059651821
-7.59940621107722;-49.2471775448608
-7.58336626586964;-49.2818224652882
-7.57421892728769;-49.3118206262288
-7.57767763581722;-49.3233645185688
-7.58182936010195;-49.3352054655577
-7.58642700163603;-49.3340455777953
-7.59330971761597;-49.3294294960742
-7.60476878509581;-49.325958549966
-7.62770133692908;-49.3017045072769
-7.65518827967594;-49.2670515402225
-7.6861490183781;-49.2427745311187
-7.69989885999797;-49.2289125396342
-7.706750395298;-49.2150495423214
-7.71475276590513;-49.1965635901269
-7.72390429543867;-49.1780855169213
-7.7353623570902;-49.1711426188766
-7.74681857472297;-49.1584395093262
-7.75594277925211;-49.1261064854349
-7.76969899111845;-49.1214525175114
-7.79953789589854;-49.123718481218
-7.81674761951439;-49.1260075789774
-7.84316268448219;-49.1374964860326
-7.85807543134968;-49.1363144700457
-7.87985999772297;-49.1305084933487
-7.89593296762911;-49.132797591108
-7.92576566980085;-49.1373514791075
-7.94644231621135;-49.1453935799357
-7.96939062602257;-49.147682510057
-7.99921427573889;-49.1406785917571
-8.0267515099049;-49.1440965642371
-8.04397330346131;-49.1452175599688
-8.06693535959374;-49.1544185427312
-8.11978661192541;-49.1831964662063
-8.14045839683206;-49.187782540714
-8.16109983924923;-49.186576552484
-8.18633406169658;-49.1830595059083
-8.20125586101949;-49.1818845307201
-8.21388789203087;-49.1876294871619
-8.21962245491272;-49.1876226140013
-8.23111873804271;-49.1945266200153
-8.24604875163078;-49.2014235852306
-8.26264860797102;-49.2109295016307
-8.30393048697692;-49.2540285772467
-8.33653625799781;-49.2692375405727
-8.36802690061921;-49.2856446131397
-8.38467855712111;-49.3048475533325
-8.39802673794043;-49.3288005180593
-8.41748633200876;-49.3653254993706
-8.46031934328363;-49.3867833292892
-8.46761564510069;-49.390438519498
-8.50818489469793;-49.4030836262783
-8.53724780288132;-49.4149326198942
-8.5703075377786;-49.445236552663
-8.63785276930469;-49.515106588856
-8.68495738881393;-49.5542715343939
-8.72111473985166;-49.5728755037852
-8.75217455264942;-49.5962864946522
-8.75426516694137;-49.5913394953934
-8.75654118893175;-49.5878675434568
-8.7680133321806;-49.5785825740246
-8.79552424717059;-49.5611805695498
-8.81740285849759;-49.5889055583471
-8.84625957186267;-49.6594696161236
-8.87741141795743;-49.7369685253179
-8.89469339357868;-49.7682115665193
-8.91309183870402;-49.7855455099403
-8.92918878085322;-49.794784546543
-8.94871945346051;-49.8017044781731
-8.97629457382891;-49.8074496022529
-8.99928093748059;-49.8166805922286
-9.01192302677572;-49.8236085704857
-9.02341394548773;-49.8305435895415
-9.04067479871298;-49.846725524189
-9.05104002782747;-49.859451600154
-9.06254335175612;-49.8710176207186
-9.08094414381435;-49.8860545873912
-9.09031526251603;-49.8883844712962
-9.12097791894549;-49.9001384895942
-9.16160593871453;-49.9108704193445
-9.17821487761382;-49.9251796590116
-9.18381414648784;-49.9462483608508
-9.19525301902814;-49.9509085574432
-9.2097438208894;-49.9748834827564
-9.26502800443905;-50.0185355963444
-9.27982290174776;-50.0529825362185
-9.27366924370676;-50.1183285239874
-9.27659318681322;-50.1799044993425
-9.29298483667839;-50.2305985850709
-9.35177164993024;-50.2765154888991
-9.38777527686352;-50.2893825484757
-9.40920679747472;-50.2962835370045
-9.4123533639297;-50.2971115014009
-9.4295924242067;-50.3005755743485
-9.45602525880929;-50.3086694753384
-9.48016765454798;-50.3190915337564
-9.48114263752626;-50.3198055042696
-9.53861567127313;-50.3383335336181
-9.56821250668935;-50.3281134790668
-9.58997980634206;-50.2855225144217
-9.61299517137871;-50.2463835527837
-9.66937336093184;-50.208530542732
-9.69681135336413;-50.2113265779959
-9.69988818238465;-50.2077404645379
-9.74776376934864;-50.2260286038173
-9.74712573887837;-50.2352404830538
-9.76239589009759;-50.2452504871113
-9.79887728551239;-50.2744144810471
-9.82809525890468;-50.2909855036404
-9.88693806326978;-50.2984846247804
-9.92984100235128;-50.3111386163781
-9.98023937453542;-50.3445515646756
-10.0181726832196;-50.3841815382021
-10.0510074478354;-50.4064904764385
-10.0887037162976;-50.4379806161457
-10.1315397677917;-50.4483225435693
-10.174847720435;-50.474979510263
-10.2000549531542;-50.4718704947343
-10.2177898868235;-50.462619555829
