lat,lon,date,count
 -14.429700, -63.747100,2023-11-16 09:40:00,1
 -14.449700, -63.649400,2023-11-16 09:40:00,2
 -16.055100, -64.728500,2023-11-16 09:40:00,2
 -14.429700, -63.747100,2023-11-16 09:40:00,1
