lat,lon,satelite,data
 -13.713900, -62.730100,GOES-16,2023-11-11 16:00:00
 -13.724500, -61.604500,GOES-16,2023-11-11 16:00:00
 -13.725400, -61.507100,GOES-16,2023-11-11 16:00:00
 -13.725600, -61.487600,GOES-16,2023-11-11 16:00:00
 -13.726400, -61.409700,GOES-16,2023-11-11 16:00:00
 -13.732100, -62.825500,GOES-16,2023-11-11 16:00:00
 -13.743500, -61.603200,GOES-16,2023-11-11 16:00:00
 -13.744500, -61.505800,GOES-16,2023-11-11 16:00:00
 -13.744700, -61.486300,GOES-16,2023-11-11 16:00:00
 -13.744900, -61.466800,GOES-16,2023-11-11 16:00:00
 -13.762600, -61.601900,GOES-16,2023-11-11 16:00:00
 -13.762800, -61.582400,GOES-16,2023-11-11 16:00:00
 -13.763700, -61.485000,GOES-16,2023-11-11 16:00:00
 -13.770500, -62.784400,GOES-16,2023-11-11 16:00:00
 -13.788900, -62.860600,GOES-16,2023-11-11 16:00:00
 -13.789400, -62.802600,GOES-16,2023-11-11 16:00:00
 -13.789600, -62.783200,GOES-16,2023-11-11 16:00:00
 -13.808600, -62.782000,GOES-16,2023-11-11 16:00:00
 -13.809000, -62.743300,GOES-16,2023-11-11 16:00:00
 -13.815400, -62.045400,GOES-16,2023-11-11 16:00:00
 -13.834300, -62.063500,GOES-16,2023-11-11 16:00:00
 -13.834500, -62.044100,GOES-16,2023-11-11 16:00:00
 -13.866500, -62.701000,GOES-16,2023-11-11 16:00:00
 -13.926900, -60.455900,GOES-16,2023-11-11 16:00:00
 -13.946100, -60.454400,GOES-16,2023-11-11 16:00:00
 -14.172000, -67.806100,GOES-16,2023-11-11 16:00:00
 -14.207000, -65.333600,GOES-16,2023-11-11 16:00:00
 -14.225600, -65.390000,GOES-16,2023-11-11 16:00:00
 -14.225800, -65.370900,GOES-16,2023-11-11 16:00:00
 -14.252000, -62.287500,GOES-16,2023-11-11 16:00:00
 -14.244600, -65.408100,GOES-16,2023-11-11 16:00:00
 -14.244700, -65.389000,GOES-16,2023-11-11 16:00:00
 -14.244800, -65.369900,GOES-16,2023-11-11 16:00:00
 -14.263600, -65.407200,GOES-16,2023-11-11 16:00:00
 -14.287400, -67.612400,GOES-16,2023-11-11 16:00:00
 -14.344800, -67.591100,GOES-16,2023-11-11 16:00:00
 -14.344900, -67.572200,GOES-16,2023-11-11 16:00:00
 -14.363600, -67.628300,GOES-16,2023-11-11 16:00:00
 -14.363900, -67.571400,GOES-16,2023-11-11 16:00:00
 -14.382600, -67.646500,GOES-16,2023-11-11 16:00:00
 -14.382700, -67.627500,GOES-16,2023-11-11 16:00:00
 -14.382800, -67.608600,GOES-16,2023-11-11 16:00:00
 -14.401900, -67.607800,GOES-16,2023-11-11 16:00:00
 -14.420900, -67.626000,GOES-16,2023-11-11 16:00:00
 -14.421000, -67.607100,GOES-16,2023-11-11 16:00:00
 -14.421100, -67.588100,GOES-16,2023-11-11 16:00:00
 -14.498000, -67.490200,GOES-16,2023-11-11 16:00:00
 -14.498100, -67.471200,GOES-16,2023-11-11 16:00:00
 -14.512800, -65.279400,GOES-16,2023-11-11 16:00:00
 -14.541600, -62.014200,GOES-16,2023-11-11 16:00:00
 -14.541800, -61.994700,GOES-16,2023-11-11 16:00:00
 -14.542600, -61.916600,GOES-16,2023-11-11 16:00:00
 -14.517200, -67.470400,GOES-16,2023-11-11 16:00:00
 -14.517300, -67.451500,GOES-16,2023-11-11 16:00:00
 -14.532000, -65.278400,GOES-16,2023-11-11 16:00:00
 -14.532100, -65.259200,GOES-16,2023-11-11 16:00:00
 -14.560600, -62.032300,GOES-16,2023-11-11 16:00:00
 -14.562000, -61.895700,GOES-16,2023-11-11 16:00:00
 -14.550900, -65.296500,GOES-16,2023-11-11 16:00:00
 -14.551100, -65.277400,GOES-16,2023-11-11 16:00:00
 -14.579600, -62.050500,GOES-16,2023-11-11 16:00:00
 -14.581300, -61.874800,GOES-16,2023-11-11 16:00:00
 -14.587500, -63.215400,GOES-16,2023-11-11 16:00:00
 -14.610900, -60.893600,GOES-16,2023-11-11 16:00:00
 -14.611100, -60.873900,GOES-16,2023-11-11 16:00:00
 -14.592300, -64.891700,GOES-16,2023-11-11 16:00:00
 -14.619700, -61.872000,GOES-16,2023-11-11 16:00:00
 -14.611300, -64.909900,GOES-16,2023-11-11 16:00:00
 -14.611500, -64.890700,GOES-16,2023-11-11 16:00:00
 -14.612200, -64.794700,GOES-16,2023-11-11 16:00:00
 -14.638300, -61.929200,GOES-16,2023-11-11 16:00:00
 -14.627800, -65.254100,GOES-16,2023-11-11 16:00:00
 -14.630900, -64.851200,GOES-16,2023-11-11 16:00:00
 -14.657500, -61.927800,GOES-16,2023-11-11 16:00:00
 -14.658100, -61.869200,GOES-16,2023-11-11 16:00:00
 -14.650500, -64.792500,GOES-16,2023-11-11 16:00:00
 -14.676800, -61.906900,GOES-16,2023-11-11 16:00:00
 -14.677200, -61.867800,GOES-16,2023-11-11 16:00:00
 -14.651900, -67.313000,GOES-16,2023-11-11 16:00:00
 -14.669200, -64.849100,GOES-16,2023-11-11 16:00:00
 -14.704500, -62.994600,GOES-16,2023-11-11 16:00:00
 -14.767600, -67.156000,GOES-16,2023-11-11 16:00:00
 -14.786900, -67.136100,GOES-16,2023-11-11 16:00:00
 -14.805900, -67.154300,GOES-16,2023-11-11 16:00:00
 -14.806000, -67.135300,GOES-16,2023-11-11 16:00:00
 -14.806100, -67.116200,GOES-16,2023-11-11 16:00:00
 -14.825000, -67.153500,GOES-16,2023-11-11 16:00:00
 -14.825100, -67.134400,GOES-16,2023-11-11 16:00:00
 -14.825300, -67.115400,GOES-16,2023-11-11 16:00:00
 -14.844300, -67.133600,GOES-16,2023-11-11 16:00:00
 -14.844800, -67.057400,GOES-16,2023-11-11 16:00:00
 -14.863400, -67.132800,GOES-16,2023-11-11 16:00:00
 -14.863600, -67.113700,GOES-16,2023-11-11 16:00:00
 -14.863700, -67.094700,GOES-16,2023-11-11 16:00:00
 -14.863800, -67.075600,GOES-16,2023-11-11 16:00:00
 -14.877500, -65.144600,GOES-16,2023-11-11 16:00:00
 -14.882800, -67.093800,GOES-16,2023-11-11 16:00:00
 -14.883000, -67.074800,GOES-16,2023-11-11 16:00:00
 -14.883100, -67.055800,GOES-16,2023-11-11 16:00:00
 -14.883300, -67.017700,GOES-16,2023-11-11 16:00:00
 -14.902200, -67.054900,GOES-16,2023-11-11 16:00:00
 -14.902300, -67.035900,GOES-16,2023-11-11 16:00:00
 -14.936900, -64.910800,GOES-16,2023-11-11 16:00:00
 -14.941300, -66.938900,GOES-16,2023-11-11 16:00:00
 -14.956100, -64.909700,GOES-16,2023-11-11 16:00:00
 -14.960400, -66.938000,GOES-16,2023-11-11 16:00:00
 -14.960600, -66.918900,GOES-16,2023-11-11 16:00:00
 -14.993800, -64.984500,GOES-16,2023-11-11 16:00:00
 -14.994000, -64.965200,GOES-16,2023-11-11 16:00:00
 -14.998700, -66.955300,GOES-16,2023-11-11 16:00:00
 -15.036000, -67.106100,GOES-16,2023-11-11 16:00:00
 -15.053000, -64.788700,GOES-16,2023-11-11 16:00:00
 -15.090600, -64.882800,GOES-16,2023-11-11 16:00:00
 -15.091500, -64.767300,GOES-16,2023-11-11 16:00:00
 -15.152000, -66.967400,GOES-16,2023-11-11 16:00:00
 -15.210500, -66.831200,GOES-16,2023-11-11 16:00:00
 -15.283300, -60.918300,GOES-16,2023-11-11 16:00:00
 -15.297500, -61.369900,GOES-16,2023-11-11 16:00:00
 -15.317000, -61.348700,GOES-16,2023-11-11 16:00:00
 -15.345200, -66.786600,GOES-16,2023-11-11 16:00:00
 -15.345300, -66.767500,GOES-16,2023-11-11 16:00:00
 -15.494000, -61.039000,GOES-16,2023-11-11 16:00:00
 -15.611500, -60.891000,GOES-16,2023-11-11 16:00:00
 -15.624200, -63.301100,GOES-16,2023-11-11 16:00:00
 -15.741600, -63.137100,GOES-16,2023-11-11 16:00:00
 -15.761000, -63.135700,GOES-16,2023-11-11 16:00:00
 -15.754200, -66.114900,GOES-16,2023-11-11 16:00:00
 -15.841500, -62.817600,GOES-16,2023-11-11 16:00:00
 -15.841700, -62.798100,GOES-16,2023-11-11 16:00:00
 -15.942300, -60.724200,GOES-16,2023-11-11 16:00:00
 -15.970200, -63.471800,GOES-16,2023-11-11 16:00:00
 -16.253600, -64.191900,GOES-16,2023-11-11 16:00:00
 -16.253800, -64.172500,GOES-16,2023-11-11 16:00:00
 -16.312100, -64.149100,GOES-16,2023-11-11 16:00:00
 -16.319800, -63.369000,GOES-16,2023-11-11 16:00:00
 -16.320000, -63.349400,GOES-16,2023-11-11 16:00:00
 -16.331300, -64.167300,GOES-16,2023-11-11 16:00:00
 -16.339200, -63.367600,GOES-16,2023-11-11 16:00:00
 -16.339400, -63.348000,GOES-16,2023-11-11 16:00:00
